"","AREA_HUC12","LAND_PCT_HUC12","WATER_PCT_HUC12","RIPARIAN_ZONE_PCT_HUC12","HYDROCONNECTED_ZONE_PCT_HUC12","HYDROACTIVE_ZONE_PCT_HUC12","FLOW_ACCUMULATION_MEAN_HUC12","STREAMLENGTH_NHD_MEDRES_HUC12","WATERBODYAREA_NHD_MEDRES_HUC12","SLOPE_MEAN_HUC12","Average.Annual.Temperature","ATEMP_SUMMER_HIST_HUC12","Average.Annual.Precipitation","PRECIP_SUMMER_HIST_HUC12","Average.Annual.Surface.Runoff","RUNOFF_SPRING_HIST_HUC12","SNOW_EQ_MARCH_HIST_HUC12","Average.Annual.Evaporative.Deficit","FOREST_PCT_HUC12","FOREST_DECIDUOUS_PCT_HUC12","FOREST_EVERGRN_PCT_HUC12","Pct.Mixed.Forest","WETLANDS_PCT_HUC12","WETLANDS_CHG_PCT_HUC12","WETLANDS_HERB_PCT_HUC12","WETLANDS_WOODY_PCT_HUC12","WOODY_VEG_PCT_HUC12","SHRUB_PCT_HUC12","GRASSLAND_PCT_HUC12","OPENWATER_PCT_HUC12","BARREN_PCT_HUC12","IMP_COV_STREAMLGTH_05PCT_HUC12","IMP_COV_LAKESHORE_05PCT_HUC12","IMP_COV_ALLWATERS_05PCT_HUC12","CANOPYCOVER_PCT_MEDIAN_HUC12","SOILSTABILITY_HUC12","URBAN_PCT_HUC12","AG_PCT_HUC12","CROP_PCT_HUC12","PASTURE_PCT_HUC12","ROADS_ALL_DENSITY_HUC12","TRAFFIC_DENSITY_HUC12","IMP_COV_PCT_HUC12","N_MANURE_APP_HUC12","N_SYNTH_FERT_APP_HUC12","P_MANURE_APP_HUC12","P_SYNTH_FERT_APP_HUC12","P_AG_BALANCE_HUC12","N_DEP_TOTAL_HUC12","N_OX_WETDEP_HUC12","N_OX_DRYDEP_HUC12","N_OX_TOTALDEP_HUC12","N_RED_WETDEP_HUC12","N_RED_DRYDEP_HUC12","N_RED_TOTALDEP_HUC12","SLF_WETDEP_HUC12","SLF_DRYDEP_HUC12","SLF_TOTALDEP_HUC12","TILE_DRAINAGE_PCT_HUC12","Suspended.Solid.Yield","SOIL_ERODIBILITY_HUC12","SOIL_RUNOFF_HIGH_PCT_HUC12","SOIL_RUNOFF_LOW_PCT_HUC12","Eutrophic","Lat","Long","Eutrophic_num","index"
"1",75078900,84.44,15.56,33.72,31.43,42.86,422.3389893,29.27,1.73,3.9935901,10,16.19,1035.53,738.93,554.63,248.49,142.69,8.83,81.31,10.28,30.35,40.68,13.11,-0.02,1.33,11.78,93.89,0.8,1.07,2.07,0.01,97.31,99.67,98.31,80,0.67,1.63,0,0,0,0.7,0,0.212,0,0,0,0,0,4.533757311,1.41761079,1.179160467,2.596771257,1.63023014,0.306756285,1.936986385,2.088805276,0.698452876,2.787258837,0,8.9,0.33,92.79,0,"No",2887072.706,2037396.452,0,1
"2",159037200,82.79,17.21,37.45,28.39,43.8,517.1430054,117.15,14.99,5.3219299,9.41,15.76,1011.28,724.69,527.53,237.82,137.32,8.71,73.98,18.79,19.24,35.95,12.68,0.03,0.52,12.16,92.01,5.88,3.08,2.55,0.05,95.83,98.92,96.44,79,0.67,1.75,0.04,0,0.04,0.49,0,0.289,0,0.055447403,0.0000786187,0.009571597,0.006834473,3.901872219,1.115794817,1.25929807,2.37509257,1.27441918,0.25236095,1.526779732,1.65669462,0.785404018,2.442098718,0,16.8,0.33,69.14,0.52,"No",2957710.778,2056250.945,0,2
"3",195630300,72.93,27.07,47.49,39.18,53.6,397.3359985,70.04,30.66,3.2686801,9.37,15.6,1003.55,723.51,525.71,230.46,124.54,8.9,46.92,16.01,8.9,22.02,11.94,0.18,1.59,10.35,58.83,1.56,2.4,14.56,0.31,87.32,68.32,78.6,66,0.68,3.93,18.38,10,8.76,1.53,792,1.252,0,28.16456032,0.043902321,5.341206288,3.816510536,4.037982885,1.213664668,1.006489986,2.220154712,1.372952165,0.444876253,1.817828361,1.795578612,1.067310532,2.862888945,0.3,21.9,0.32,34.32,1.17,"Yes",2997914.111,2085899.31,1,5
"4",101812500,86.16,13.84,32.52,26.09,40.24,607.8859863,40.28,7.56,6.1457801,9.84,16.1,1055.92,751.23,569.59,254.44,147.52,8.17,81.92,19.18,16.09,46.64,5.58,0.03,0.15,5.43,89.23,1.89,2.14,7.26,0,97.92,100,98.85,80,0.66,1.2,0,0,0,0.47,0,0.128,0,0,0,0,0,4.594015704,1.461918902,1.2123339,2.674252782,1.642091306,0.277671687,1.919762935,2.155979983,0.712959662,2.868940493,0,11.8,0.34,85.55,0.99,"No",2892234.978,2052841.604,0,1
"5",181385100,75.93,24.07,54.05,46.49,65.3,2139.959961,95.39,5.33,2.04971,10.55,16.7,1026.22,721.49,534.5,243.34,119.94,12.44,67.01,3.39,24.42,39.2,22.83,0.05,1.11,21.72,92.42,3.69,3.73,0.88,0.09,98.31,100,98.67,77,0.66,1.6,0.17,0,0.17,1.15,1201,0.248,0,0.102163851,0.000149999,0.017765624,0.013039719,4.141759143,1.27253831,1.281272869,2.553811179,1.366821838,0.221126817,1.587948654,1.897358633,0.738766257,2.63612417,0,20.5,0.34,36.27,0.41,"Yes",2908888.446,2105232.912,1,4
"6",75825900,80.64,19.36,46.49,36.16,54.39,297.32901,24.57,1.62,3.0381,10.59,16.74,1034,729.2,539.26,245.27,119.6,12.23,67.84,2.53,18.67,46.64,17.27,0.2,1.05,16.23,89.84,5.77,5.95,1.9,0,99.24,99.8,99.42,78,0.66,1.26,0.01,0,0.01,0.36,0,0.074,0,0,0,0,0,4.187118713,1.355663753,1.147405368,2.50306882,1.465538731,0.218510769,1.684049893,2.002924347,0.680311853,2.683235893,0,8.8,0.34,65.12,2.67,"No",2900109.438,2081847.248,0,2
"7",125254800,86.63,13.37,36.31,27.19,44.12,293.9830017,47.49,6.01,4.8102198,10.13,16.16,1139.84,814.23,654.7,278.28,141.59,8.09,82.85,7.66,28.92,46.27,8.11,0.15,0.49,7.62,92.37,1.9,1.14,4.43,0.02,97.4,99.32,98.43,79,0.69,1.54,0,0,0,0.58,0,0.166,0,0,0,0,0,4.77062947,1.341427809,1.544050754,2.885478918,1.538055355,0.347095367,1.885150367,2.030240959,0.921394049,2.951634906,0,11.2,0.31,42.39,11.52,"No",2817415.54,2059560.864,0,1
"8",64880100,84.2,15.8,33.13,22.19,37.12,329.2640076,19.84,8.34,6.7895498,10.85,16.85,1096.42,784.63,595.05,257.01,102.65,14.21,83.32,4.57,47.12,31.62,2.21,0.05,0.24,1.97,86,0.71,0.83,12.59,0.09,100,99.86,99.9,81,0.71,0.24,0.02,0,0.02,0.1,0,0.063,0,0,0,0,0,4.563744619,1.364096996,1.330564686,2.694661379,1.564416052,0.304667188,1.86908324,2.067159979,0.783960153,2.851120132,0,7.7,0.29,46.17,9.07,"No",2827122.555,2069611.447,0,3
"9",53361900,90.63,9.37,33.9,25.61,43.43,5497.310059,24.23,0.47,3.5928299,10.69,16.87,1036.1,726.53,542.41,252.18,134.07,12.29,86.72,0.4,51.45,34.88,7.65,0,0.24,7.41,95.46,1.33,0.23,1.23,0,98.73,100,98.89,80,0.67,2.83,0,0,0,0.98,0,0.145,0,0,0,0,0,4.830616633,1.457035203,1.466037217,2.92307242,1.602716339,0.304827874,1.907543798,2.150038779,0.757143965,2.907182738,0,135,0.33,93.5,0,"Yes",2871616.418,2058781.303,1,2
"10",157112100,69.46,30.54,63.24,42.67,67.41,1826.069946,89.82,20.91,2.8885801,11.15,17.15,1089.31,750.34,578.11,258.35,89.82,16.37,64.72,17.9,14.05,32.77,28.22,0.1,0.96,27.26,94.05,2.07,1.21,1.73,0.01,98.92,97.94,98.79,78,0.69,1.63,0.42,0,0.39,1.01,363,0.127,0,0.285514623,0.000439876,0.054118172,0.038239197,4.218387767,1.368246767,1.23063951,2.598885813,1.415259817,0.204242024,1.619501954,2.006396638,0.734207533,2.740604178,0,25.8,0.31,61.69,3.22,"No",2869763.498,2137271.604,0,4
