"","ATEMP_SUMMER_HIST_HUC12","WOODY_VEG_PCT_HUC12","N_RED_DRYDEP_HUC12","HUC12_join","preds"
"1",21.69,48.31,1.617102806,20503040702,NA
"2",23.88,33.52,1.599959724,20700041105,NA
"3",32.77,90.7,0.629927317,150301010101,NA
"4",20.93,42.79,1.060852078,20502040106,NA
"5",29.19,70.19,0.552562785,31401040406,NA
"6",23.52,80.33,0.692780435,50901010403,NA
"7",29.07,96.14,1.165690208,111203040204,NA
"8",21.74,13.68,2.327439995,71200030406,NA
"9",31.31,65.55,0.963442116,121101060703,NA
"10",23.62,38.19,1.219878902,20700040905,NA
"11",21.35,71.01,0.77892552,20502040405,NA
"12",20.98,68.55,1.0431097,20502040305,NA
"13",28.81,23.95,0.846680694,31602050203,NA
"14",22.17,42.69,1.2154066,20401050504,NA
"15",14.32,74.8,0.467699005,140100020104,NA
"16",22.44,18.34,1.659861722,71200050503,NA
"17",21.77,32.79,1.888809048,180600051509,NA
"18",19.89,73.36,1.426340168,70700030504,NA
"19",28.87,66.33,0.490612747,31300110804,NA
"20",26.05,26.91,1.45850064,51302060506,NA
"21",18.53,95.99,0.608562051,101202020701,NA
"22",23.04,32.23,2.067710437,20402031004,NA
"23",25.86,22.9,5.100988865,110100011307,NA
"24",32.79,39.34,0.969094005,121101061205,NA
"25",21.6,11.23,8.015222692,70802070604,NA
"26",22.35,24.65,3.914481056,20402030409,NA
"27",21.07,7.67,3.193494929,70900031006,NA
"28",22.52,53.25,1.816521969,20402030802,NA
"29",29.07,51.63,0.581635508,31401040503,NA
"30",22.24,25.43,1.608442312,20401060602,NA
"31",23.32,15.04,1.965631083,51202050601,NA
"32",23.59,33.99,1.559778376,51201090509,NA
"33",20.87,28.81,3.32796108,70600011002,NA
"34",23.64,35.04,2.693617973,20600020203,NA
"35",23.3,39.75,0.908632707,20403010305,NA
"36",28.51,6.19,1.179681086,31401050401,NA
"37",22.76,4.73,1.943815627,71300050302,NA
"38",22.81,23.12,1.562669253,50902020104,NA
"39",21.02,21.9,1.517697696,41000120304,NA
"40",24.39,83.04,0.571810857,50500090607,NA
"41",22.96,4.85,1.760063501,71200020508,NA
"42",21.62,20.2,2.624471311,40500012001,NA
"43",22.77,4.41,1.765055307,71200021402,NA
"44",23.21,81.18,0.825821116,60102060104,NA
"45",22.93,4.16,2.198271931,71300020305,NA
"46",22.93,9.72,1.725348046,71200020711,NA
"47",10.85,77.57,0.51794947,101900020201,NA
"48",22.3,22.62,1.823243657,50800011802,NA
"49",23.08,11.86,3.678282758,51201050508,NA
"50",18.81,59.69,0.82981158,41300020103,NA
"51",26.87,29.56,1.38083989,30701030307,NA
"52",23.33,43.91,1.54701665,20600060101,NA
"53",23.04,8.11,1.992069352,71200020503,NA
"54",23.59,43.77,2.197774967,20402050306,NA
"55",21.46,23.52,1.821889296,40500012208,NA
"56",21.36,10.45,4.171020227,70801020801,NA
