"","HUC12_join","AREA_HUC12","LAND_PCT_HUC12","WATER_PCT_HUC12","RIPARIAN_ZONE_PCT_HUC12","HYDROCONNECTED_ZONE_PCT_HUC12","HYDROACTIVE_ZONE_PCT_HUC12","FLOW_ACCUMULATION_MEAN_HUC12","STREAMLENGTH_NHD_MEDRES_HUC12","WATERBODYAREA_NHD_MEDRES_HUC12","SLOPE_MEAN_HUC12","Average.Annual.Temperature","ATEMP_SUMMER_HIST_HUC12","Average.Annual.Precipitation","PRECIP_SUMMER_HIST_HUC12","Average.Annual.Surface.Runoff","RUNOFF_SPRING_HIST_HUC12","SNOW_EQ_MARCH_HIST_HUC12","Average.Annual.Evaporative.Deficit","FOREST_PCT_HUC12","FOREST_DECIDUOUS_PCT_HUC12","FOREST_EVERGRN_PCT_HUC12","Pct.Mixed.Forest","WETLANDS_PCT_HUC12","WETLANDS_CHG_PCT_HUC12","WETLANDS_HERB_PCT_HUC12","WETLANDS_WOODY_PCT_HUC12","WOODY_VEG_PCT_HUC12","SHRUB_PCT_HUC12","GRASSLAND_PCT_HUC12","OPENWATER_PCT_HUC12","BARREN_PCT_HUC12","IMP_COV_STREAMLGTH_05PCT_HUC12","IMP_COV_LAKESHORE_05PCT_HUC12","IMP_COV_ALLWATERS_05PCT_HUC12","CANOPYCOVER_PCT_MEDIAN_HUC12","SOILSTABILITY_HUC12","URBAN_PCT_HUC12","AG_PCT_HUC12","CROP_PCT_HUC12","PASTURE_PCT_HUC12","ROADS_ALL_DENSITY_HUC12","TRAFFIC_DENSITY_HUC12","IMP_COV_PCT_HUC12","N_MANURE_APP_HUC12","N_SYNTH_FERT_APP_HUC12","P_MANURE_APP_HUC12","P_SYNTH_FERT_APP_HUC12","P_AG_BALANCE_HUC12","N_DEP_TOTAL_HUC12","N_OX_WETDEP_HUC12","N_OX_DRYDEP_HUC12","N_OX_TOTALDEP_HUC12","N_RED_WETDEP_HUC12","N_RED_DRYDEP_HUC12","N_RED_TOTALDEP_HUC12","SLF_WETDEP_HUC12","SLF_DRYDEP_HUC12","SLF_TOTALDEP_HUC12","TILE_DRAINAGE_PCT_HUC12","Suspended.Solid.Yield","SOIL_ERODIBILITY_HUC12","SOIL_RUNOFF_LOW_PCT_HUC12","Cat_TP","Lat","Long","Cat_TP_num"
"1",10600030901,45051300.000001,71.700001,28.300001,65.950001,46.640001,73.370001,242.125001,39.890001,5.170001,1.673441,15.200001,20.370001,1274.840001,869.750001,663.570001,263.410001,6.450001,52.890001,31.530001,8.620001,11.180001,11.730001,27.380001,8.820001,3.220001,24.150001,56.090001,0.410001,0.580001,0.320001,0.180001,73.770001,76.000001,73.840001,59.000001,0.710001,32.010001,7.600001,0.000001,7.600001,3.780001,24449.000001,10.350001,0.302296387,1.309947656,0.036838338,0.150921276,20.795574412,8.275788137,1.747770034,4.061277651,5.809046796,1.589191584,0.877551869,2.466741904,2.868167406,4.227603373,7.09576978,0.000001,33.600001,0.290001,20.020001,"Low",2491459.026001,2015214.020001,2
"2",10700040103,118199700.000001,86.020001,13.980001,49.190001,24.680001,53.960001,1358.459962,98.940001,2.940001,4.119031,15.080001,20.440001,1284.750001,882.300001,668.340001,251.190001,2.540001,47.230001,50.640001,23.120001,6.320001,21.200001,10.040001,9.150001,0.560001,9.480001,60.830001,0.720001,1.590001,2.310001,0.950001,64.060001,78.070001,67.750001,76.000001,0.730001,28.300001,5.460001,0.000001,5.370001,4.900001,11692.000001,13.747001,0.942673431,2.356682108,0.252536319,0.342416168,21.088979059,8.387311991,2.060507513,3.820365095,5.880871608,1.753858026,0.752585021,2.506441237,2.787808921,2.808175239,5.595983154,0.000001,30.600001,0.270001,30.130001,"Low",2417945.794001,1959502.382001,2
"3",10700040402,146416500.000001,84.010001,15.990001,50.390001,33.190001,59.600001,9507.759767,114.330001,2.960001,2.845341,15.500001,20.920001,1238.350001,852.870001,633.380001,233.850001,1.390001,59.830001,41.070001,13.180001,15.710001,12.180001,12.480001,9.280001,1.240001,11.240001,52.920001,0.610001,1.660001,2.420001,0.660001,66.970001,85.610001,70.330001,59.000001,0.730001,30.460001,10.630001,1.000001,9.190001,5.300001,10687.000001,14.550001,0.000001,7.930941151,0.033919582,0.543807523,20.75922885,8.116296307,2.124497475,3.300907135,5.425403224,1.948625081,0.742270113,2.690894083,2.993849411,2.67281635,5.666664761,0.000001,70.600001,0.270001,47.540001,"Low",2441644.979001,1969308.714001,2
"4",10700050103,108720000.000001,84.180001,15.820001,45.070001,37.440001,58.550001,1299.709962,67.070001,6.900001,2.5709811,15.830001,21.000001,1226.970001,837.630001,601.540001,218.100001,0.240001,70.570001,23.940001,10.620001,4.160001,9.170001,10.320001,8.640001,0.760001,9.550001,33.820001,0.320001,0.520001,4.530001,0.270001,39.430001,54.930001,46.290001,50.000001,0.740001,58.060001,2.030001,0.000001,1.930001,8.540001,17143.000001,28.331001,0.000001,2.950911568,0.005246463,0.151157092,20.966092435,9.554032942,2.126312099,4.562122996,6.688433405,1.79095487,1.074645978,2.865600537,3.046583393,4.342015123,7.388597257,0.000001,25.000001,0.260001,51.830001,"Low",2405022.499001,1992807.138001,2
"5",10700050201,103500000.000001,83.360001,16.640001,50.390001,27.520001,55.000001,338.0769968,65.350001,6.420001,3.5385409,15.330001,20.550001,1258.120001,863.150001,636.940001,234.920001,1.140001,50.820001,30.580001,22.250001,1.680001,6.640001,12.510001,8.770001,0.550001,11.960001,43.100001,0.560001,0.790001,3.110001,0.270001,47.190001,64.100001,53.090001,60.000001,0.720001,49.910001,2.270001,0.000001,2.120001,6.240001,14249.000001,22.999001,0.393914031,1.186835812,0.080669519,0.118263866,21.02610365,9.546518316,2.257465723,4.025732232,6.283197183,1.963245383,1.30007775,3.263322133,3.062741509,3.069336232,6.132076512,0.000001,20.200001,0.280001,20.740001,"High",2399003.463001,1972569.637001,1
"6",10700050203,121073400.000001,79.030001,20.970001,60.110001,32.690001,64.460001,357.8410044,81.620001,4.700001,2.880991,15.670001,20.980001,1234.050001,846.220001,616.910001,228.590001,0.570001,59.360001,39.290001,16.170001,7.590001,15.530001,18.340001,8.920001,0.960001,17.390001,56.990001,0.310001,0.610001,1.890001,0.380001,60.600001,76.160001,64.470001,71.000001,0.730001,36.430001,2.740001,0.000001,2.630001,5.360001,12452.000001,14.630001,0.000001,4.719817208,0.009220752,0.265046191,20.940401203,8.705362393,2.079502384,4.021954298,6.101455688,1.781809894,0.822098795,2.603907706,2.868654933,3.020410718,5.889064452,0.000001,15.000001,0.270001,31.650001,"Low",2424147.785001,1982718.160001,2
"7",10700050204,106819200.000001,82.660001,17.340001,53.080001,30.390001,59.100001,1627.900025,72.110001,3.680001,3.1913109,15.590001,20.850001,1247.280001,854.130001,629.700001,232.400001,0.770001,60.240001,49.990001,19.180001,11.040001,19.770001,15.450001,9.320001,1.260001,14.200001,64.730001,0.540001,0.890001,1.080001,0.180001,72.800001,73.210001,72.930001,77.000001,0.760001,27.540001,4.320001,0.000001,4.200001,4.890001,14703.000001,10.603001,0.413724379,5.074970769,0.116121238,0.362602973,20.989344681,8.763125557,2.109674332,4.068710472,6.178383804,1.78463023,0.800113328,2.584742753,2.914254938,3.183775007,6.098028487,0.000001,21.100001,0.240001,36.880001,"Low",2419052.083001,1981804.405001,2
"8",10802020102,61024500.000001,81.710001,18.290001,52.430001,26.460001,55.510001,589.5770274,31.320001,0.740001,3.8075209,13.930001,19.400001,1252.980001,876.060001,676.160001,245.140001,7.860001,32.810001,72.450001,10.630001,27.010001,34.810001,16.740001,9.220001,0.950001,15.790001,89.650001,1.410001,1.910001,0.890001,0.080001,90.380001,81.760001,88.220001,82.000001,0.740001,5.460001,1.060001,0.000001,1.060001,2.030001,4129.000001,0.868001,0.45445125,0.327189253,0.104463345,0.041065725,21.038601475,7.780459529,2.077839692,3.345723631,5.423562323,1.882302727,0.474597479,2.356898622,2.779236629,2.046487341,4.82572397,0.000001,13.500001,0.260001,23.710001,"Low",2436294.011001,1922980.892001,2
"9",10802020103,156435300.000001,81.390001,18.610001,53.890001,28.230001,58.030001,748.1779795,89.070001,9.540001,3.6897409,13.810001,19.290001,1253.160001,875.500001,678.800001,248.720001,10.070001,32.910001,64.600001,6.270001,22.040001,36.280001,14.130001,9.640001,1.310001,12.820001,79.400001,1.980001,1.300001,3.840001,0.490001,83.880001,71.130001,78.290001,79.000001,0.750001,11.280001,2.380001,0.000001,2.380001,3.230001,5189.000001,3.253001,0.876589583,0.83398156,0.191729452,0.10525627,21.069982758,7.767927675,1.969520453,3.490421848,5.459941301,1.776895168,0.531093112,2.307987437,2.687102563,2.211887417,4.898989335,0.000001,18.100001,0.250001,21.960001,"Low",2436523.456001,1930005.098001,2
"10",10802020207,88959600.000001,93.240001,6.760001,28.390001,13.850001,32.520001,5275.209962,53.050001,0.790001,7.9598208,14.250001,19.750001,1249.090001,878.320001,659.680001,239.560001,5.540001,35.920001,84.980001,22.980001,21.220001,40.780001,4.510001,9.170001,0.570001,3.930001,89.550001,0.630001,0.580001,0.760001,0.180001,83.930001,98.010001,85.280001,87.000001,0.740001,6.650001,1.700001,0.000001,1.700001,2.520001,3887.000001,1.937001,0.387520717,1.273280071,0.095597204,0.117950834,21.069447101,8.420646506,2.428457379,3.183682346,5.61213875,2.230508966,0.578000409,2.808508412,3.175464664,2.150974413,5.326437672,0.000001,145.600001,0.260001,17.510001,"Low",2414270.671001,1903389.571001,2
